TA,專案,成效,興趣,類型
"30-65 
醫療人員",勝興豐川,差,"1.地區-中彰沿海 台灣大道沿線(大肚區、伸港忠孝醫院、梧棲童綜合、清水區、靜宜大學)
2.興趣-醫學院 (高等教育) 、健康和保健（個人護理） 、親子教育（兒童和親子教育） 、蒙台梭利教育法、房地產（產業） 、投資（商業與財務） 、不動產（房地產） 、豪華轎車（交通工具） 、身心健康（心理學） 、 591房屋交易網、除濕機、生活品質（心理學） 、空氣凈化器、家庭（社會觀念） 或健康教育, 行業類別：健康照護與醫療服務",名單
"28-60 
成家換屋",勝興豐川,差,"1.地區-台灣大道沿線(中港體育館、東海大學、港區運動公園、靜宜大學)
2.興趣-房地產（產業） 、房屋（房地產） 、公寓（房地產） 、住家（家居和園藝用品） 、公寓大樓（房地產） 、住宅區（房地產） 、新家、貸款（借貸） 、傢俱（居家裝潢） 、房屋抵押貸款（銀行業） 、網路購物（零售） 、資訊科技（電腦和電子產品） 、社群媒體（網路媒體） 、信用卡（借貸） 、教育（社會觀念） 、烹飪（美食和餐飲） 、超市（食品零售業者） 、量販店（食品零售業者） 或學習（教育）, 家長：學齡前兒童的家長（03-05 歲） 、低年級學童（06-08 歲）的家長、嬰幼兒家長（01-02 歲） 或青少年學童（09-12 歲）的家長",名單
"30-65
學區 三代同堂",勝興豐川,差,"1.地區-港區運動公園（+5 公里）, 台中大安圖書館（+5 公里）, 台中港-三井outlet（+5 公里）, 清水區（+5 公里）, 麗水漁港（+5 公里）
2.興趣-教育（社會觀念） 、訓練（教育） 、公寓（房地產） 、 591房屋交易網、超市（食品零售業者） 、網路購物（零售） 、除濕機、空氣凈化器、家樂福、幼兒照護（兒童和親子教育） 、幼兒教育（小學和中學教育） 、住家（家居和園藝用品） 、宜家家居（零售業者） 、海鮮（美食和餐飲） 或零售業（產業）, 行業類別：農、林、漁業, 家長：父母（全部）",名單
"30-65
1% 通勤上班族",勝興豐川,差,"1.地區-港區運動公園（+3 公里）, 秀泰影城台中文心店（+3 公里）, 東海大學（+3 公里）, 嶺東科技大學（+3 公里）, 台中•金典酒店（+3 公里）, 水湳經貿園區（+3 公里）, 沙鹿火車站（+3 公里）
2.興趣-上班族（流行文化） 、團購、網路購物（零售） 、通勤 (旅遊觀光) 、公共運輸（交通運輸） 、本日優惠（零售） 、購物折扣（商業與財務） 、商業（商業與財務） 、時尚配件（飾品配件） 、汽車（交通工具） 、 AI 、房地產（產業） 、 591房屋交易網、 7-11 、電子產品（電腦和電子產品） 、 FamilyMart 或公寓（房地產）
• 行為：通勤者",名單
"30-65
1% 自營商+置產",勝興豐川,差,"1.地區-港區運動公園（+3 公里）, 大雅中科公園（+3 公里）, 台中港關聯工業區（+3 公里）, 清水車站（+3 公里）
2.興趣-小型企業（商業與財務） 、金錢（貨幣） 、批發（零售） 、中小型企業（商業與財務） 、出口貿易、自僱（工作機會） 、製造業（產業） 、獨資企業（商業與財務） 、投資（商業與財務） 、資產管理 (商業和金融業) 或不動產（房地產）",名單
"28-65
休閒興趣",勝興豐川,差,"1.地區-中港體育館（+3 公里）, 港區藝術中心（+3 公里）, 靜宜大學（+3 公里）, 東海大學（+3 公里）, 大雅公園（+3 公里）
2.興趣-咖啡廳（咖啡） 、羽球 (球拍類運動) 、運動（體育運動） 、時事（政治） 、休閒娛樂（社會觀念） 、 Netflix（串流服務） 、住宅區（房地產） 、俱樂部、房地產（產業） 、社群媒體（網路媒體） 或 YouTube（串流服務）, 行業類別：藝術、娛樂、運動和媒體",名單
"30-60
自營商 投資",新都峰,差,"30-60 / 142 秀水花壇 / 自營商+投資
1.地區-142縣道、永芳公園、福興工業區、花壇車站
2.興趣-小型企業（商業與財務） 、中小型企業（商業與財務） 、獨資企業（商業與財務） 、居家事業（商業與財務） 、自僱（工作機會） 、批發（零售） 、經銷（商業） 、直運（零售業者） 、網路購物（零售） 、電子商務（零售） 、社群媒體行銷（行銷） 、資金、租賃（房地產） 、電子產品（電腦和電子產品） 、零售業（產業） 、公寓（房地產） 或房地產投資（投資）",訊息
"28-60
科技工業 賺錢
$97、58訊息",大興家園,優,"1.地點：大里工業區（+3 公里）, 台中大里軟體園區（+3 公里）, 太平工業區（+3 公里）, 大興十九街1巷， 台中市（+3 公里） Taichung
2.興趣：金錢（貨幣） 、財富（經濟） 、投資（商業與財務） 、收入（商業與財務） 、汽車（交通工具） 、電子商務（零售） 、股票（投資） 、羽球 (球拍類運動) 、酒精飲品（美食和餐飲） 、房地產（產業） 、房屋（房地產） 、 591房屋交易網或樂屋網
• 行業類別：資訊科技和技術服務或製造",訊息
"30-55
教職員 休閒
$118、16訊息",大興家園,優,"1.地點：中台科技大學（+3 公里）, 北屯捷運總站（+3 公里）, 祥順運動公園（+3 公里）, 大興十九街1巷， 台中市（+3 公里） Taichung
2.興趣：閱讀（傳播） 、書籍（媒體刊物） 、廚房（家居和園藝用品） 、教育（社會觀念） 、大自然（科學） 、家庭（社會觀念） 、烹飪（美食和餐飲） 、學區、旅遊（產業） 、休閒活動（休閒） 、假期（活動） 、房地產（產業） 、 591房屋交易網或樂屋網",訊息
"30-64
高知識  財經",松恩頌子鳥,優,"1.地點：清華大學（+3 公里） ; 臺大醫院竹北分院（+3 公里）, 明新科技大學（+3 公里）, 台大竹北校區（+3 公里）, 新竹國軍醫院（+3 公里）
2.興趣：學術期刊、學術研討會、研究、展覽館、高等教育（教育） 、教育（社會觀念） 、投資（商業與財務） 、新聞播報（新聞服務） 、大眾媒體（娛樂與媒體） 、財經（商業與財務） 、房屋（房地產） 或 591房屋交易網、行業類別：健康照護與醫療服務或教育和圖書館",名單
"30-60 
科技新貴 旅遊",松恩頌子鳥,優,"1.地點：新竹科學園區（+3 公里）, 竹北台元科技園區（+3 公里）, 新竹巨城百貨公司廣場（+3 公里）, 竹北高鐵（+3 公里）
2.興趣：高科技（電腦和電子產品） 、智慧科技 (消費電子產品) 、人工智慧（計算） 、大數據 (科學) 、新興技術（科學） 、旅遊（旅遊觀光） 、飯店（住宿） 、 http://booking.com/（旅遊觀光業） 、旅遊網站（網站） 、 http://hotels.com/（住宿） 、 Trivago 、房地產（產業） 、房屋（房地產） 或免稅商店",名單
"30-60
1%質感生活+旅遊",勝興豐川,可,"1.靜宜大學（+5 公里）, 台中港-三井outlet（+5 公里）, 東海藝術街商圈Art Street（+5 公里）
2.生活品質（心理學） 、無印良品、 Workinghouse 生活工場、 H&M（服飾） 、 Zara（零售業者） 、 Uniqlo（服飾） 、宜家家居（零售業者） 、旅遊（旅遊觀光） 、日本（地標） 、日本料理（美食和餐飲） 、房地產（產業） 、住家（家居和園藝用品） 或房屋（房地產）",名單
"30-60
1%食品加工",勝興豐川,差,"1.地區：龍井車站（+5 公里）, 梧棲 關聯工業區（+5 公里）, 靜宜大學（+5 公里）
2.興趣：食品產業、食品加工、食品保存、全食食品超市（食品零售業者） 、批發（零售） 、農夫市集（食品零售業者） 、中式料理（美食和餐飲） 、供應鏈、食品（美食和餐飲） 、烹飪（美食和餐飲） 、醬汁、 591房屋交易網或房地產（產業）",名單
"28-60
1%自由業",勝興豐川,差,"1.靜宜大學（+5 公里）, 台中港-三井outlet（+5 公里）, 東海藝術街商圈Art Street（+5 公里）
2.攝影（視覺藝術） 、旅行攝影（攝影） 、數位攝影（攝影） 、數位相機 (相機和相機設備) 、行銷（商業與財務） 、廣告（行銷） 、內容行銷（行銷） 、數位行銷（行銷） 、設計（設計） 、平面設計（視覺藝術） 、 Adobe Illustrator 、 Canva 、室內設計（設計） 、房地產（產業） 或公寓（房地產）",名單
"30-60
1%五金相關",勝興豐川,差,"1.沙鹿車站（+5 公里）, 梧棲 關聯工業區（+5 公里）, 弘光科技大學（+5 公里）
2.五金行（零售業者） 、工具（工業材料和設備） 、手動工具（工業材料和設備） 、工具箱、鑽孔 (興建和維修) 、居家裝修（家居和園藝用品） 、螺釘旋具、電動工具 (興建和維修) 、焊接、工具機 (興建和維修) 、建材（工業材料和設備） 、房地產（產業） 或房屋（房地產）",名單
"30-65
1%紡織業",勝興豐川,差,"1.地區：靜宜大學（+5 公里）, 港區藝術中心（+3 公里）, 東海藝術街商圈Art Street（+3 公里）
2.興趣：房地產（產業） 、 591房屋交易網、成衣、紡織品、紡織品（工藝用品） 、服裝（服飾） 、批發（零售） 、縫紉機、編織、縫紉（手工藝） 、紗線、刺繡、時尚設計（設計） 、棉花（工藝用品） 或 T 恤（服飾）",名單
"35-60
1%親子+日常",勝興豐川,差,"1.台中港-三井outlet（+5 公里）, 靜宜大學（+5 公里）, 清水五權夜市（+5 公里）
2.親子教育（兒童和親子教育） 、家庭（社會觀念） 、烹飪（美食和餐飲） 、食譜（美食和餐飲） 、有機食品（美食和餐飲） 、烘焙（烹飪） 、天然食品（美食和餐飲） 、廚房（家居和園藝用品） 、超市（食品零售業者） 、量販店（食品零售業者） 、廚具（廚房與餐廚） 、烹飪和烘焙用具（廚房與餐廚） 、房屋（房地產） 或 591房屋交易網, 家長：父母（全部）",名單
"30-60
自住需求",勝興豐川,可,"1.林酒店（+5 公里）, 弘光科技大學（+5 公里）, 台中港-三井outlet（+5 公里）, 中港系統交流道（+5 公里）, 大肚藍色公路（+5 公里）
2.房地產（產業） 、不動產（房地產） 、房屋（房地產） 、公寓（房地產） 、家庭（社會觀念） 、宜家家居（零售業者） 、現代家具（居家裝潢） 、室內設計（設計） 、 591房屋交易網、房屋廣告和入口網站 (網站) 或新家",訊息
35-60 / 清水 神岡 潭子 / 藍領+日用品,中科峇里島17,優,"35-60 / 清水 神岡 潭子 / 藍領+日用品
1.地點：和睦路一段（+3 公里）, 豐洲科技工業園區（+5 公里）, 潭子加工出口區（+3 公里）
2.興趣：技術員、工廠（製造業） 、加工出口工廠、製造業（產業） 、物流（商業與財務） 、保險（商業與財務） 、保單（保險） 、家庭（社會觀念） 、超市（食品零售業者） 、量販店（食品零售業者） 、家樂福、居家裝修（家居和園藝用品） 、五金行（零售業者） 、房地產（產業） 或 591房屋交易網",訊息
"28-55
科技+服務業",中科峇里島17,可,"1.地點：清水服務區（+3 公里）, 中部科學園區（+5 公里）, 中部科學園區 后里園區（+3 公里）, 葫蘆墩公園（+3 公里）
2.興趣：PlayStation（遊戲機） 、玩家（電玩遊戲） 、休閒遊戲（電玩遊戲） 、高科技（電腦和電子產品） 、智慧科技 (消費電子產品) 、人工智慧（計算） 、顧客服務（商業與財務） 、金融服務（商業與財務） 、美食（美食和餐飲） 、羽球 (球拍類運動) 、運動（體育運動） 、房地產（產業） 、 591房屋交易網或樂屋網",訊息
"30-60
醫療人員+公益",寬心璽玥,差,"1.地區:榮民醫院（+3 公里）, 國姓鄉公所（+3 公里） ; 埔里基督教醫院（+3 公里）
2.興趣:慈善和公益（社會公益理念） 、非營利組織（社會公益理念） 、捐贈（社會公益理念） 、社區議題（法律與政府） 、休閒活動（休閒） 、網路購物（零售） 、質感設計、房屋（房地產） 或 591房屋交易網、行業類別：健康照護與醫療服務",訊息
"28-55
金融+運動",光華盛璟,優,"1.地區-竹南科學園區（+5 公里）, 新竹科學工業園區（+5 公里）, 竹南獅山親子公園（+3 公里）
2.興趣-豪華轎車（交通工具） 、收入（商業與財務） 、股票（投資） 、金錢（貨幣） 、數位貨幣（貨幣） 、股票市場（投資） 、體育、運動（體育運動） 、跑步（體育運動） 、財富（經濟） 、外匯市場（貨幣） 、戶外休閒活動（戶外活動） 、房屋（房地產） 或 591房屋交易網",訊息
"30-55
教職+房產",大漁樂芙,差,"1.地點：台灣：中山醫學大學（+3 公里）, 朝陽科技大學（+3 公里）, 修平科技大學（+3 公里）, 勤益科技大學（+3 公里）, 中興大學（+3 公里）
2.興趣：高等教育（教育） 、教育（社會觀念） 、新聞媒體（新聞服務） 、時事（政治） 、財經（商業與財務） 、維他命和營養補充品 (保健食品) 、個人理財（銀行業） 、閱讀（傳播） 、廚房（家居和園藝用品） 、休閒（社會觀念） 、房屋（房地產） 、房屋廣告和入口網站 (網站) 或 591房屋交易網",名單
"35-60
工業+賺錢興趣",大漁樂芙,可,"1.地點：烏日工業城（+3 公里）, 太平工業區（+3 公里）, 大里工業區（+3 公里）, 霧峰工業區（+3 公里）
2.職業&興趣：工廠（製造業） 、物流（商業與財務） 、機械加工、倉儲業（產業） 、保險（商業與財務） 、保單（保險） 、金錢（貨幣） 、收入（商業與財務） 、促銷（行銷） 、居家裝修（家居和園藝用品） 、公寓大樓（房地產） 、住宅區（房地產） 或新家",訊息
"30-55
醫療人員+休閒興趣",大漁樂芙,差,"1.地點：中山醫學大學（+3 公里）, 霧峰澄清醫院《急診室》（+3 公里）, 台中太平區（+3 公里）
2.興趣：房屋（房地產） 、電視節目（電影和電視） 、自我照護（心理學） 、 591房屋交易網、健康和保健（個人護理） 、高等教育（教育） 、教育（社會觀念） 、網路購物（零售） 、牙科學院 (高等教育) 、宜家家居（零售業者） 、醫學院 (高等教育) 或旅遊（旅遊觀光）, 行業類別：健康照護與醫療服務",名單
"30-60
教授 醫療人員",惠田好日子,可,"30-60 / 北屯 太平 / 教授 醫療人員
1.地點：慈濟醫院、中台科大、勤益科大、中國醫、中興大學+台中巿牙醫師公會（+5 公里）, 國立勤益科技大學（+5 公里）, 台中慈濟醫院-急診室（+5 公里）, 台中市醫師公會（+5 公里）
2.興趣：大學（高等教育） 、研究所教育（高等教育） 、學術研討會、新聞媒體（新聞服務） 、網絡報紙（媒體刊物） 、社群媒體（網路媒體） 、財經（商業與財務） 、時事（政治） 、電視節目（電影和電視） 、金融市場（投資） 、 591房屋交易網、樂屋網或房屋（房地產）
• 行業類別：教育和圖書館或健康照護與醫療服務",名單
"30-60
體育 金錢興趣",惠田好日子,可,"30-60 / 北屯  太平 中區 / 體育+金錢興趣
1.地點： 迪卡農北屯店（+3 公里）, 台體體育館（+3 公里）, 太平運動場（+3 公里）, 潭子勝利運動公園（+3 公里）, 新都生態公園（+3 公里）
2.興趣：金錢（貨幣） 、收入（商業與財務） 、財富（經濟） 、被動收入（商業與財務） 、體育、運動（體育運動） 、健身（健身） 、高爾夫球（體育運動） 、羽球 (球拍類運動) 、迪卡儂、團隊運動 (團隊運動) 、自行車（體育運動） 、房屋（房地產） 、 591房屋交易網或樂屋網",名單
"30-55
教職員+理財",備用,⠀,"1.大雅國中（+3 公里）, 靜宜大學（+3 公里）, 國立中科實驗高級中學（+3 公里）, 神岡國小（+3 公里）, 清水東山國小（+3 公里）
2.興趣：學術期刊、學術研討會、展覽館、教育（社會觀念） 、閱讀（傳播） 、書籍（媒體刊物） 、股票（投資） 、金融市場（投資） 、財經（商業與財務） 、大自然（科學） 、房屋（房地產） 、 591房屋交易網或公寓（房地產）
• 行業類別：教育和圖書館",
"30-55
裝潢設計+娛樂興趣",備用,⠀,"1.地區-竹南（+5 公里） ; 新竹車站（+5 公里）, 香山車站（+5 公里）
2.興趣-室內設計（設計） 、居家裝修（家居和園藝用品） 、傢俱（居家裝潢） 、現代家具（居家裝潢） 、住家修繕（居家裝修） 、建材（工業材料和設備） 、新家、房屋（房地產） 、住家（家居和園藝用品） 、影片分享網站、旅遊頻道、爆紅影片 (網路影片) 、 YouTube（串流服務） 、社群媒體（網路媒體） 、旅遊網站（網站） 、網路迷因（流行文化） 或房地產（產業）",
"30-60
傳產 房屋興趣",勝興豐川,可,"1.地點：台灣：弘光科技大學（+5 公里）, 台中港-三井outlet（+5 公里）, 中港系統交流道（+5 公里）, 大肚藍色公路（+5 公里） ; 全興工業區（+5 公里）
2.興趣：房地產（產業） 、房屋（房地產） 、公寓（房地產） 、居家裝修（家居和園藝用品） 、建築物（建築） 、 591房屋交易網、房屋廣告和入口網站 (網站) 、水利產業、汽車業（產業） 、製造生產服務和組織 (製造業) 或住宅興建（建築業）、行業類別：製造、建築與採石或資訊科技和技術服務",流量
"30-55
金錢興趣",勝興豐川,差,"30-55 / 沿海 中科 台1 / 金錢興趣
1.地區：大雅中科公園（+5 公里）, 中港系統交流道（+5 公里）, 大甲車站（+5 公里）, 梧棲 關聯工業區（+5 公里） ; 全興工業區（+5 公里）
2.興趣：金錢（貨幣） 、收入（商業與財務） 、被動收入（商業與財務） 、財富（經濟） 、現金、投資者（投資） 、房屋（房地產） 、股份 (金融) 、當沖交易（投資） 、股市指數 (投資) 、波段交易 (投資) 、 591房屋交易網、住宅興建（建築業） 或房屋廣告和入口網站 (網站)",名單
"35-60
3C興趣",勝興豐川,可,"1.地區-清水區（+5 公里）, 沙鹿車站（+5 公里）, 精科南路（+5 公里）
2.興趣-消費電子產品媒體和內容 (電腦和電子產品) 、電腦 (電腦和電子產品) 、科技（電腦和電子產品） 、電競電腦（電腦硬體） 、智慧科技 (消費電子產品) 、 MacBook 、 Apple Watch（消費電子產品） 、 PlayStation（遊戲機） 、任天堂 (遊戲機和相關配件) 、 iPad 、虛擬實境（遊戲） 、戴森、飛利浦、伊萊克斯、三星電子（消費電子產品） 、房屋廣告和入口網站 (網站) 或 591房屋交易網",訊息
"30-60
高知識+醫療",勝興豐川,可,"1.地區-靜宜大學（+3 公里）, 東海大學（+3 公里）, 伸港忠孝醫院（+3 公里）, 清水高中（+3 公里）, 台中日僑學校（+3 公里）, 童綜合醫院 梧棲院區（+3 公里）
2.興趣-高等教育（教育） 、教育（社會觀念） 、新聞媒體（新聞服務） 、時事（政治） 、大眾媒體（娛樂與媒體） 、金融市場（投資） 、旅遊平安保險、學習（教育） 、保險（商業與財務） 、家庭（社會觀念） 、住宅區（房地產） 或房屋廣告和入口網站 (網站)、行業類別：教育和圖書館或健康照護與醫療服務",訊息
"28-60
質感興趣",臻富裕,差,"1.地點：台灣：港區運動公園（+5 公里）, 港區藝術中心（+5 公里）, IKEA 臺中旗艦店（+5 公里）, 大甲車站（+5 公里）
2.興趣：居家裝修（家居和園藝用品） 、室內設計（設計） 、傢俱（居家裝潢） 、現代家具（居家裝潢） 、宜家家居（零售業者） 、 MUJI 無印良品、 Zara（零售業者） 、居家裝潢零售商 (零售) 、室內設計內容 (設計) 、住家（家居和園藝用品） 、住家修繕（居家裝修） 、 H&M（服飾） 或時尚設計（設計）",流量
30-55 / 台3 74沿/ 新婚上班族,大漁樂芙,優,"30-55 / 台3 74沿/ 新婚上班族
1.地點：台中高工（+3 公里）, 大里軟體園區（+3 公里）, 大里十九甲（+3 公里）, 霧峰區公所（+3 公里）
2.興趣：訂婚（婚禮） 、求婚（婚禮） 、婚禮（社會觀念） 、旅遊（旅遊觀光） 、 Booking.com（旅遊觀光業） 、旅遊網站（網站） 、 Trivago 、 Hotels.com（住宿） 、咖啡（美食和餐飲） 、星巴克（咖啡） 、宜家家居（零售業者） 、家電（消費電子產品） 、 591房屋交易網或房屋廣告和入口網站 (網站)",訊息
"30-60
科技新貴+旅遊",光華盛璟,差,"30-60 / 竹科 巨城 / 科技新貴+旅遊
1.地點：竹南車站（+5 公里） ; 竹北台元科技園區（+5 公里）, 新竹巨城百貨公司廣場（+5 公里）, 廣源科技園區（+5 公里）
2.興趣：高科技（電腦和電子產品） 、智慧科技 (消費電子產品) 、人工智慧（計算） 、大數據 (科學) 、新興技術（科學） 、旅遊（旅遊觀光） 、飯店（住宿） 、 http://booking.com/（旅遊觀光業） 、旅遊網站（網站） 、 http://hotels.com/（住宿） 、 Trivago 、房地產（產業） 、房屋（房地產） 或免稅商店",訊息
"28-60
上班族+房產興趣",寬心璽玥,差,"28-60 / 南投縣 / 上班族+房產興趣
1.地區-Nantou
2.興趣-上班族（流行文化） 、金錢（貨幣） 、儲蓄（銀行業） 、政府（政府機構） 、房地產經濟學 (經濟) 、公寓大樓（房地產） 、房地產（產業） 、住宅區（房地產） 、 591房屋交易網或樂屋網",訊息
"28-65
軍公教",寬心璽玥,差,"1.地區--Nantou
2.興趣-退休金（銀行業） 、退休規劃（銀行業） 、退休社區（房地產） 、地方政府、軍人節、教育（社會觀念） 、政治和社會議題 (政治) 、本地新聞（新聞服務） 、新聞媒體（新聞服務） 、國家安全、公共安全、休閒娛樂（社會觀念） 、 591房屋交易網或樂屋網",訊息
"28-60
小家庭",惠田好日子,可,"28-60 / 太平大里74沿 / 小家庭
1.地點：台灣：三甲公園（+3 公里）, 太平工業區（+3 公里）, 大里軟體園區（+3 公里）, 東峰公園（+3 公里）
2.興趣：上班族（流行文化） 、金錢（貨幣） 、收入（商業與財務） 、網路購物（零售） 、折扣和折讓（優惠券和折扣） 、行動支付（貨幣） 、爆紅影片 (網路影片) 、 YouTube（串流服務） 、社群媒體（網路媒體） 、家電（消費電子產品） 、住宅區（房地產） 、質感設計、 591房屋交易網、樂屋網或生活用品（家居和園藝用品）",名單
"28-60
投資族群",惠田好日子,差,"28-60 / 北區 北屯 潭子 / 投資族群
1.地點：台中公園（+3 公里）, 國立勤益科技大學（+3 公里）, 潭子勝利運動公園（+3 公里）, 太原車站（+3 公里）
2.興趣：被動收入（商業與財務） 、收入（商業與財務） 、金錢（貨幣） 、投資者（投資） 、金融市場（投資） 、股票市場（投資） 、證券（金融） 、資產管理 (商業和金融業) 、財富（經濟） 、時事（政治） 、新聞媒體（新聞服務） 、租賃（房地產） 、房地產（產業） 、房屋（房地產） 或 591房屋交易網",名單
"30-60
3C+房產興趣",勝興豐川,差,"30-60 / 中彰 台灣大道 / 3C+房產興趣
1.地點：中港系統交流道（+10 公里）, 龍井車站（+10 公里）, 西屯工業區（+10 公里） ; 彰濱工業區（+10 公里）
2.興趣：消費電子產品（電腦和電子產品） 、家電（消費電子產品） 、智慧裝置（消費電子產品） 、智慧科技 (消費電子產品) 、 PlayStation（遊戲機） 、虛擬實境（遊戲） 、三星電子（消費電子產品） 、飛利浦、戴森、房屋（房地產） 、住家（家居和園藝用品） 、房地產（產業） 、住宅區（房地產） 、親子教育（兒童和親子教育） 、 591房屋交易網或房屋廣告和入口網站 (網站)",流量
"30-60
大家庭自住",勝興豐川,差,"30-60 / 台中西半部 / 大家庭自住
1.地點：大雅中科公園（+10 公里）, 大肚藍色公路（+10 公里）, 台中港車站（+10 公里）
2.興趣：教育（社會觀念） 、保險（商業與財務） 、廚房（家居和園藝用品） 、廚具（廚房與餐廚） 、烹飪（美食和餐飲） 、烹飪和烘焙用具（廚房與餐廚） 、家電（消費電子產品） 、生活用品（家居和園藝用品） 、家務（家居和園藝用品） 、維他命和營養補充品 (保健食品) 、宜家家居（零售業者） 、好市多（零售業者） 、超市（食品零售業者） 、房屋（房地產） 、住宅區（房地產） 、 591房屋交易網或房屋廣告和入口網站 (網站)",名單
