搜尋關鍵字報表
2026年7月1日 - 2026年8月5日
關鍵字狀態,關鍵字,比對類型,廣告活動,廣告群組,狀態,狀態原因,最終到達網址,曝光,互動,互動率,貨幣代碼,平均費用,費用,點擊,轉換率,轉換,平均單次點擊出價,單次轉換費用
已啟用,[詠丞品藏],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[THE精銳],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[寬埕越山],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[晟溢建設],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[雅敦崇德序],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[櫻花原櫻崇現],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[浩瀚景立方],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[豐邑 豐穗],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[雅正],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[敦泰一境],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[之序],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[豐潤自在],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[豐謙HOME+],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[八展首富],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[富比世],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[泱泱仁美],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[遇 建築],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[登陽上清宇],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[虹府敦和],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[佑崧建設],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[淞語道],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[靜樂敦和],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[誠總建設],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[鼎銓初森],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[精晨建設],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[基創御山],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[慶昀金典],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 極少顯示; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[磐興寬境],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[雲品謙恆],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[舜元境朗],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[藏富諦霈],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[京丞建設],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[惠宇覞山],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[家福7],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[豐邑太原YES],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[晟溢光御],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[惠宇THE GRAND],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[裕翔研山],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[原生三璽],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[國敬典藏],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""擬真草皮""",詞組比對,202604 三羽建材 GKW,綠建材,符合資格,,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""鋁門窗""",詞組比對,202604 三羽建材 GKW,綠建材,符合資格,,,254,11,4.33%,TWD,6.66,73.21,11,0.00%,0.00,6.66,0.00
已啟用,"""健康塗料""",詞組比對,202604 三羽建材 GKW,綠建材,符合資格,,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""綠建材主題館""",詞組比對,202604 三羽建材 GKW,綠建材,不符合資格,極少顯示,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""錦鋐氣密窗""",詞組比對,202604 三羽建材 GKW,綠建材,符合資格,,,1,0,0.00%,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""塑木""",詞組比對,202604 三羽建材 GKW,綠建材,符合資格,,,120,6,5.00%,TWD,6.98,41.88,6,0.00%,0.00,6.98,0.00
已啟用,"""手工地毯""",詞組比對,202604 三羽建材 GKW,綠建材,符合資格,,,3,0,0.00%,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""擬真花""",詞組比對,202604 三羽建材 GKW,綠建材,符合資格,,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""碳化軟木""",詞組比對,202604 三羽建材 GKW,綠建材,符合資格,,,1,0,0.00%,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""綠建材""",詞組比對,202604 三羽建材 GKW,綠建材,符合資格,,,50,4,8.00%,TWD,6.54,26.16,4,0.00%,0.00,6.54,0.00
已啟用,"""軟木""",詞組比對,202604 三羽建材 GKW,綠建材,符合資格,,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""山形緞通""",詞組比對,202604 三羽建材 GKW,綠建材,符合資格,,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""羊毛地毯""",詞組比對,202604 三羽建材 GKW,綠建材,符合資格,,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""Tostem鋁門窗""",詞組比對,202604 三羽建材 GKW,綠建材,符合資格,,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""日本手工羊毛地毯""",詞組比對,202604 三羽建材 GKW,綠建材,不符合資格,極少顯示,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""擬真綠牆""",詞組比對,202604 三羽建材 GKW,綠建材,不符合資格,極少顯示,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""綠建材標章""",詞組比對,202604 三羽建材 GKW,綠建材,符合資格,,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""三 羽 磁 磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,109,38,34.86%,TWD,3.49,132.43,38,0.00%,0.00,3.49,0.00
已啟用,"""東南亞磁磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,7,2,28.57%,TWD,7.16,14.32,2,0.00%,0.00,7.16,0.00
已啟用,"""台中磁磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,753,77,10.23%,TWD,6.27,482.96,77,0.00%,0.00,6.27,0.00
已啟用,"""浴室地磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,311,9,2.89%,TWD,7.31,65.82,9,0.00%,0.00,7.31,0.00
已啟用,台中 磁 磚 行,廣泛比對,202604 三羽建材 GKW,磁磚,符合資格,,,913,81,8.87%,TWD,6.27,508.24,81,0.00%,0.00,6.27,0.00
已啟用,"""磁磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,"5,577",253,4.54%,TWD,6.40,1618.36,253,0.00%,0.00,6.40,0.00
已啟用,"""西班牙磁磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,96,7,7.29%,TWD,6.88,48.15,7,0.00%,0.00,6.88,0.00
已啟用,"""皮爾卡登磁磚""",詞組比對,202604 三羽建材 GKW,磁磚,受限,品質偏低,,8,0,0.00%,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""建材 行""",詞組比對,202604 三羽建材 GKW,磁磚,受限,品質偏低,,"11,810",538,4.56%,TWD,6.36,3422.16,538,0.00%,0.00,6.36,0.00
已啟用,"""台中 磁 磚 零售""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,27,7,25.93%,TWD,5.50,38.51,7,0.00%,0.00,5.50,0.00
已啟用,"""防滑磁磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,132,8,6.06%,TWD,7.06,56.47,8,0.00%,0.00,7.06,0.00
已啟用,"""薄板""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,229,15,6.55%,TWD,6.71,100.69,15,0.00%,0.00,6.71,0.00
已啟用,"""台中 磁 磚 推薦""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,28,3,10.71%,TWD,6.57,19.72,3,0.00%,0.00,6.57,0.00
已啟用,"""六角磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,255,16,6.27%,TWD,7.21,115.39,16,0.00%,0.00,7.21,0.00
已啟用,"""進口瓷磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,93,10,10.75%,TWD,6.83,68.34,10,0.00%,0.00,6.83,0.00
已啟用,"""拋光石英磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,161,7,4.35%,TWD,7.15,50.06,7,0.00%,0.00,7.15,0.00
已啟用,"""復古磁磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,139,13,9.35%,TWD,6.77,87.99,13,0.00%,0.00,6.77,0.00
已啟用,"""地板磁磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,188,6,3.19%,TWD,5.52,33.12,6,0.00%,0.00,5.52,0.00
已啟用,"""木 紋 磁 磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,165,5,3.03%,TWD,7.23,36.13,5,0.00%,0.00,7.23,0.00
已啟用,"""義大利瓷磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,50,0,0.00%,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""日本磁磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,28,2,7.14%,TWD,6.39,12.77,2,0.00%,0.00,6.39,0.00
已啟用,"""地磚""",詞組比對,202604 三羽建材 GKW,磁磚,符合資格,,,633,26,4.11%,TWD,6.38,166.01,26,0.00%,0.00,6.38,0.00
