搜尋關鍵字報表
2026年7月1日 - 2026年8月5日
關鍵字狀態,關鍵字,比對類型,廣告活動,廣告群組,狀態,狀態原因,貨幣代碼,最高單次點擊出價,最終到達網址,曝光,點擊,點閱率,費用,平均單次點擊出價,曝光 (頂端) 百分比,曝光 (絕對頂端) 百分比,轉換率,轉換,單次轉換費用
已啟用,"""美式百葉窗""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,82,4,4.88%,93.88,23.47,67.69%,18.46%,0.00%,0.00,0.00
已啟用,"""防水木百葉""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,17,0,0.00%,0.00,0,78.57%,42.86%,0.00%,0.00,0.00
已啟用,"""皮百葉""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,9,1,11.11%,28.37,28.37,75.00%,25.00%,0.00%,0.00,0.00
已啟用,"""百葉窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,"3,400",156,4.59%,4294.26,27.53,66.07%,24.68%,0.00%,0.00,0.00
已啟用,"""實木百葉""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),百葉窗,符合資格,,TWD, --,,255,16,6.27%,453.58,28.35,80.57%,15.64%,0.00%,0.00,0.00
已啟用,"""風琴簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""電動窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""窗簾設計""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""布窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已暫停,"""平價窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,已暫停,廣告群組已暫停; 已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""手動天窗""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""調光簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""隔熱窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""蜂巢簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""調光捲簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已暫停,"""窗簾推薦""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,已暫停,廣告群組已暫停; 已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已暫停,"""窗簾價格""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,已暫停,廣告群組已暫停; 已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已暫停,"""防水窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,已暫停,廣告群組已暫停; 已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""窗簾訂製""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""手捲簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已暫停,"""客製窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,已暫停,廣告群組已暫停; 已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""自動天窗""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""遮光窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已暫停,"""窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,已暫停,廣告群組已暫停; 已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,[Norman百葉窗],完全比對,202507 臻富裕 GKW(百葉窗/品牌字),競品字,不符合資格,廣告群組已暫停; 品質偏低,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,[E-shutter],完全比對,202507 臻富裕 GKW(百葉窗/品牌字),競品字,不符合資格,廣告群組已暫停; 品質偏低,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""朗絲""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),品牌字,符合資格,,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""ALTALIPA""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),品牌字,符合資格,,TWD, --,,13,11,84.62%,150.51,13.68,90.91%,81.82%,0.00%,0.00,0.00
 --,,總計：所有未移除的關鍵字, --, --, --,,TWD, --,,"14,490",870,6.00%,16814.34,19.33,62.80%,21.42%,0.00%,0.00,0.00
,,總計：帳戶的關鍵字,,,,,TWD,,,"15,640",906,5.79%,17775.66,19.62,62.36%,21.27%,0.00%,0.00,0.00
,,總計：您的關鍵字,,,,,TWD,,,"15,640",906,5.79%,17775.66,19.62, --, --,0.00%,0.00,0.00
,,總計：AI Max 擴充比對相符項目,,,,,TWD,,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
,,總計：AI Max 相符到達網頁,,,,,TWD,,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
,,總計：帳戶的網址納入項目,,,,,TWD,,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
,,總計：帳戶,,,,,TWD,,,"15,640",906,5.79%,17775.66,19.62,62.36%,21.27%,0.00%,0.00,0.00
,,總計：多媒體,,,,,TWD,,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
,,總計：搜尋,,,,,TWD,,,"15,640",906,5.79%,17775.66,19.62,62.36%,21.27%,0.00%,0.00,0.00
