搜尋關鍵字報表
2026年8月1日 - 2026年8月31日
關鍵字狀態,關鍵字,比對類型,廣告活動,廣告群組,狀態,狀態原因,貨幣代碼,最高單次點擊出價,最終到達網址,曝光,點擊,點閱率,費用,平均單次點擊出價,曝光 (頂端) 百分比,曝光 (絕對頂端) 百分比,轉換率,轉換,單次轉換費用
已啟用,"""蜂巢簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""自動天窗""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""電動窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""遮光窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""調光簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""手捲簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已暫停,"""防水窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,已暫停,廣告群組已暫停; 已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""隔熱窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""調光捲簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""窗簾訂製""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""風琴簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""手動天窗""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已暫停,"""窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,已暫停,廣告群組已暫停; 已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已暫停,"""平價窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,已暫停,廣告群組已暫停; 已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已暫停,"""窗簾推薦""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,已暫停,廣告群組已暫停; 已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已暫停,"""客製窗簾""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,已暫停,廣告群組已暫停; 已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已啟用,"""窗簾設計""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,不符合資格,廣告群組已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
已暫停,"""窗簾價格""",詞組比對,202507 臻富裕 GKW(百葉窗/品牌字),其他,已暫停,廣告群組已暫停; 已暫停,TWD, --,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
 --,,總計：所有未移除的關鍵字, --, --, --,,TWD, --,,"12,311",772,6.27%,14739.83,19.09,67.08%,20.42%,0.00%,0.00,0.00
,,總計：帳戶的關鍵字,,,,,TWD,,,"12,322",777,6.31%,14818.75,19.07,67.10%,20.48%,0.00%,0.00,0.00
,,總計：您的關鍵字,,,,,TWD,,,"12,322",777,6.31%,14818.75,19.07, --, --,0.00%,0.00,0.00
,,總計：AI Max 擴充比對相符項目,,,,,TWD,,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
,,總計：AI Max 相符到達網頁,,,,,TWD,,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
,,總計：帳戶的網址納入項目,,,,,TWD,,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
,,總計：帳戶,,,,,TWD,,,"12,322",777,6.31%,14818.75,19.07,67.10%,20.48%,0.00%,0.00,0.00
,,總計：多媒體,,,,,TWD,,,0,0, --,0.00,0, --, --,0.00%,0.00,0.00
,,總計：搜尋,,,,,TWD,,,"12,322",777,6.31%,14818.75,19.07,67.10%,20.48%,0.00%,0.00,0.00
