興趣,類型,成效
"28-55 / 南區東區太平 / 餐廳 串流媒體
-臺中火車站（+3 公里）, 精武路（+3 公里）, 建國北黃昏市場（+5 公里）
-速食休閒餐廳 (餐廳) 、簡餐館（餐廳） 、甜點（美食和餐飲） 、在地美食（美食和餐飲） 、烘培坊（烘焙食品） 、火鍋、燒烤（烹飪） 、韓式料理（美食和餐飲） 、美食家（美食和餐飲） 、壽司（美食和餐飲） 、鮭魚、 Netflix（串流服務） 、 Spotify（串流服務） 、 Apple Music 、 YouTube（串流服務） 、 UberEATS 或行動支付（貨幣）",名單,優
"27-55 / 西屯中科水湳 / 會計 金融顧問
-水崛頭公園（+3 公里）, 水湳經貿園區（+3 公里）, 統聯中港轉運站 U Bus（+3 公里）
-財經（商業與財務） 、金錢（貨幣） 、被動收入（商業與財務） 、投資管理（投資） 、財務規劃（投資） 、資產管理 (商業和金融業) 、投資銀行業（銀行業） 、經濟學（經濟） 、會計系統、註冊會計師、私人銀行服務、財務顧問 (投資) 、會計學（商業與財務） 、納斯達克100指數、當沖交易（投資） 或私募基金、私募股權投資 (投資)
1016-註冊會計師、投資銀行業（銀行業） 、金錢（貨幣） 、電腦運算、財經（商業與財務） 、會計學（商業與財務） 、財務規劃（投資） 、財務顧問 (投資) 、被動收入（商業與財務） 、投資管理（投資） 、私募基金、私募股權投資 (投資) 、納斯達克100指數、會計系統、財務會計（商業與財務） 、資產管理 (商業和金融業) 、商業（商業與財務） 、房地產投資（投資） 或經濟學（經濟）
1023-註冊會計師、投資銀行業（銀行業） 、電腦運算、會計學（商業與財務） 、財務規劃（投資） 、財務顧問 (投資) 、被動收入（商業與財務） 、投資管理（投資） 、私募基金、私募股權投資 (投資) 、納斯達克100指數、會計系統、財務會計（商業與財務） 、資產管理 (商業和金融業) 、商業（商業與財務） 、房地產投資（投資） 、經濟學（經濟） 、財富管理（銀行業） 、當沖交易（投資） 、道瓊斯工業平均指數、證券交易所（投資） 或股份 (金融)",名單,優
"28-60 / 伸港鹿港 / 科技質感興趣
-85。c鹿港鹿和店（+5 公里）, 伸港鄉立圖書館（+5 公里）
- iPhone（智慧型手機） 、 Apple Watch（消費電子產品） 、智慧科技 (消費電子產品) 、穿戴式科技（消費電子產品） 、新興技術（科學） 、物聯網、商業智慧 (商業和金融業) 、網路購物（零售） 、時尚設計（設計） 、室內設計（設計） 、時尚配件（飾品配件） 、現代家具（居家裝潢） 、宜家家居（零售業者） 、時事（政治） 、美食（美食和餐飲） 、排屋或連棟住宅（建築）",訊息,優
"30-55 / 伸港和美彰化 / 軍公教
-伸港國中第二校區（+3 公里）, 和美高中（+3 公里）, 大道國中（+3 公里）, 彰化車站（+3 公里）
-教育（社會觀念） 、學習（教育） 、書籍（媒體刊物） 、新聞媒體（新聞服務） 、學校（教育） 、社區議題（法律與政府） 、家庭（社會觀念） 、均衡飲食（個人護理） 、健康和保健（個人護理） 、社群媒體（網路媒體） 或政府機關概念和作法 (法律和政府)、行業類別：行政服務、保護服務、教育和圖書館、社區和社會服務或軍事（全球）",訊息,優
"28-60 / 伸港鹿港龍井大肚 / 科技家庭自住
-龍井車站（+3 公里）, 大肚車站（+5 公里） ; 85。c鹿港鹿和店（+5 公里）, 伸港鄉立圖書館（+5 公里）
-一般健康 (個人護理) 、（美食和餐飲） 、生活用品（家居和園藝用品） 、家務（家居和園藝用品） 、家電（消費電子產品） 、傢俱（居家裝潢） 、一般保險 (保險) 、房屋（房地產） 、 591房屋交易網、室內設計（設計） 、房屋保險（保險） 、排屋、連棟住宅（建築） 、 iPhone（智慧型手機） 、物聯網或智慧科技 (消費電子產品)、家長：父母（全部）",訊息,優
"28-60 / 伸港鹿港和美 / 零售批發自營
-台中商銀和美分行（+5 公里） ; 85。c鹿港鹿和店（+5 公里）, 伸港鄉立圖書館（+5 公里）
-商業模式 (商業和金融業) 、零售業（產業） 、批發（零售） 、經銷（商業） 、供應鏈、居家事業（商業與財務） 、小型企業（商業與財務） 、銀行帳戶 (銀行業) 、貿易（經濟） 、電子商務（零售） 、行銷企劃 (行銷) 、社群媒體行銷（行銷） 、網紅行銷 (行銷) 或網路購物（零售）
1126
-台中商銀和美分行（+5 公里） ; 築間幸福鍋物 彰化自強店（+3 公里）, 85。c鹿港鹿和店（+5 公里）, 伸港鄉立圖書館（+5 公里）
-小型企業（商業與財務） 、銀行帳戶 (銀行業) 、行銷企劃 (行銷) 、批發（零售） 、經銷（商業） 、電子商務（零售） 、商業模式 (商業和金融業) 、網路購物（零售） 、社群媒體行銷（行銷） 、網紅行銷 (行銷) 、居家事業（商業與財務） 、零售業（產業） 、物聯網、排屋、連棟住宅（建築） 、火鍋、速食休閒餐廳 (餐廳) 或 Apple Watch（消費電子產品）",訊息,優
"30-60 / 彰市+8K / 批發商業房產
-彰化車站（+8 公里）
-批發（零售） 、經銷（商業） 、零售業（產業） 、進口（郵遞） 、出口貿易、業務（商業與財務） 、直運（零售業者） 、物流（商業與財務） 、商業（商業與財務） 、資金、 591房屋交易網、房地產（產業） 、電動車（交通工具） 或汽車（交通工具）, 行為：Facebook 付款用戶（90 天）",訊息,優
"28-60 / 秀水埔鹽福興 / 在地產業
-福興工業區（+5 公里）, 秀水_龍騰公園（+5 公里） ; 埔鹽系統交流道， 內埔鄉（+5 公里） Pingtung
-代工生產、食品產業、包裝和標籤（商業與財務） 、製造生產服務和組織 (製造業) 、機械加工、電子工程、保單（保險） 、超市（食品零售業者） 、技術員、汽車（交通工具） 、休閒餐廳 (餐廳) 、網路購物（零售） 、數位媒體（電腦和電子產品） 、家電（消費電子產品） 、居家裝修（家居和園藝用品） 、彩券（博奕） 或自行車（交通工具）",名單,優
"*28-55 / 地基+5K / 年輕興趣
-力行路96巷， Taiwankou, T'Ai-Wan, Taiwan（+6 公里） Changhua
-戶外（戶外活動） 、上班族（流行文化） 、 PC Gamer 、 Spotify（串流服務） 、演唱會（音樂活動） 、戶外休閒活動（戶外活動） 、歌唱（音樂） 、音樂節（活動） 、甜點（美食和餐飲） 、派對（活動） 、網路遊戲（電玩遊戲） 、野餐 (食品和飲料) 、攀岩 (極限運動) 、股票（投資） 、卡拉OK 、露營（戶外活動） 、 Netflix（串流服務） 、拼圖、攀石、登山（爬山） 、房地產投資（投資） 、運動類遊戲 (電玩遊戲) 、電腦遊戲（電玩遊戲） 、不動產（房地產） 、電玩遊戲（遊戲） 、社群媒體（網路媒體） 或 YouTube（串流服務）",名單,優
"28-55 / 彰師大+5K / 新婚成家
-彰化師範大學（+5 公里）
-婚姻（婚禮） 、婚禮（社會觀念） 、婚宴（婚禮） 、訂婚戒指（珠寶） 、媽媽寶寶-懷孕、生產、育兒、喜帖（婚禮） 或餐廳（餐飲）",名單,優
"28-55 / 彰師大+3K / 房地產
-彰化師範大學（+3 公里）
-房地產（產業） 、不動產（房地產） 、房地產投資（投資） 、公寓大樓（房地產） 、租賃（房地產） 或 591房屋交易網",名單,優
"30-60 / 竹科竹東 / 研究 高知識
-竹東工研院（+5 公里）, 竹東中央市場（+3 公里）, 國立清華大學（+3 公里）, 台灣大學竹北分校（+3 公里）, 國立陽明交通大學 National Yang Ming Chiao Tung University（+3 公里）
-高等教育（教育） 、研究所教育（高等教育） 、科學 (期刊) 、研究、文學（藝術） 、教育學（教育） 、新興技術（科學） 、實驗室、投資（商業與財務） 、財經（商業與財務） 、新聞播報（新聞服務） 、智慧科技 (消費電子產品) 、工程和理工學院 (教育) 或理工學院、行業類別：教育和圖書館、計算與數學或資訊科技和技術服務",訊息,優
"27-55 / 竹科巨城 / 旅遊 年輕工程師
-新竹科學園區（+3 公里）, 竹北台元科技園區（+3 公里）, 新竹巨城百貨公司廣場（+3 公里）, 竹北高鐵（+3 公里）, 芎林戶政事務所（+5 公里）
-智慧科技 (消費電子產品) 、人工智慧（計算） 、大數據 (科學) 、新興技術（科學） 、半導體、物聯網、商業智慧 (商業和金融業) 、軟體開發（軟體） 、軟體工程（資訊技術） 、 iPhone（智慧型手機） 、 Python（程式語言） 、 GitHub 、美食（美食和餐飲） 、旅遊（旅遊觀光） 、 http://booking.com/（旅遊觀光業） 、旅遊網站（網站） 、免稅商店、室內設計（設計） 、品酒 (葡萄酒) 或數位貨幣（貨幣）",訊息,優
"27-55 / 中科沙鹿梧棲 / 年輕人 科技工業
-台中港關聯工業區（+3 公里）, 靜宜大學（+3 公里）, 中科園區（+5 公里）, 台中機場（+3 公里）
-人工智慧（計算） 、物聯網、 iPhone（智慧型手機） 、工廠（製造業） 、共同基金 (投資) 、 GitHub 、大數據 (科學) 、美食（美食和餐飲） 、市場趨勢 (商業和金融業) 、智慧科技 (消費電子產品) 、股票（投資） 、半導體、航空公司、能量飲料（非酒精飲料） 、新興技術（科學） 、軟體開發（軟體） 、健身俱樂部（健身） 、 Python（程式語言） 、數位貨幣（貨幣） 或製造生產服務和組織 (製造業)",訊息,可
"28-55 / 太平東區大里 / 新婚 旅遊
-星巴克太平門市（+3 公里）, 內新黃昏市場（+3 公里）, 旱溪夜市（+3 公里）, 大里立新國小（+3 公里）
- 訂婚（婚禮） 、求婚（婚禮） 、婚戒（婚禮） 、旅遊（旅遊觀光） 、 Booking.com（旅遊觀光業） 、旅遊網站（網站） 、 Trivago 、咖啡廳（咖啡） 、本日優惠（零售） 、宜家家居（零售業者） 、居家裝潢零售商 (零售) 、室內設計（設計） 、家電（消費電子產品） 、時尚配件（飾品配件） 、 Netflix（串流服務） 、綜藝節目 (表演藝術) 、表演藝術（表演藝術） 或 591房屋交易網",名單,可
"28-55 / 太平東區大里 / 行銷 年輕人
-大里立新國小（+3 公里）, 星巴克太平門市（+3 公里）, 旱溪夜市（+3 公里）, 內新黃昏市場（+3 公里）
-行銷企劃 (行銷) 、商業行銷 (行銷) 、網紅行銷 (行銷) 、搜尋引擎行銷 (行銷) 、開發潛在顧客 (行銷) 、 Google AdWords 、地點 (地標) 、網路名人、 UberEATS 、休閒餐廳 (餐廳) 、服飾品牌和零售商 (零售) 、酒精飲品（美食和餐飲） 、美容沙龍（化妝品） 、運動場所 (體育運動) 、極簡主義或假期（活動）、行為：商家的粉絲專頁管理員",名單,可
"28-55 / 大里霧峰 / 理財 儲蓄
-大里成功商圈（+5 公里）, 大里中興商圈（+5 公里）, 大里立新國小（+5 公里）
-個人理財服務和組織 (銀行業) 、儲蓄（銀行業） 、儲蓄帳戶（銀行業） 、存款帳戶 (銀行業) 、儲蓄互助社、財務規劃（投資） 、信用額度（借貸） 、金錢（貨幣） 、被動收入（商業與財務） 、投資（商業與財務） 、現金、股票市場（投資） 、上班族（流行文化） 、優惠券（優惠券和折扣） 、折扣和折讓（優惠券和折扣） 、 7-11 、便利商店（零售業者） 、超市（食品零售業者） 、熱門話題或 591房屋交易網",名單,優
"35-60 / 太平北區南區 / 醫護人員
-中山醫學大學（+3 公里）, 國軍臺中總醫院(總院)（+3 公里）, 中國醫藥大學（+3 公里）, 台中慈濟醫院-急診室（+3 公里）, 中山醫院大慶院區（+3 公里）, 仁愛長庚合作聯盟醫院（+3 公里）
-儲蓄（銀行業） 、 7-11 、語言教育、輪班工作制（商業與財務） 、保險（商業與財務） 、訓練（教育） 、度假村（旅遊觀光業） 、投資（商業與財務） 、能量飲料（非酒精飲料） 、醫學院 (高等教育) 、咖啡（美食和餐飲） 、手錶（飾品配件） 、速食（美食和餐飲） 、豪華轎車（交通工具） 、旅遊（旅遊觀光） 或精品（零售）",名單,可
"27-55 / 西屯中科 / 年輕社交興趣
-水崛頭公園（+3 公里）, 統聯中港轉運站 U Bus（+3 公里）
- 運動場所 (體育運動) 、有氧運動 (健身) 、蛋白質（科學） 、 Instagram（社群媒體） 、 Netflix（串流服務） 、社交網路遊戲、網路聊天、 LINE 、即時通訊、社群媒體（網路媒體） 、派對（活動） 、咖啡廳（咖啡） 、流行文化（社會觀念） 、時尚（流行文化） 、休閒娛樂（社會觀念） 、快時尚（服飾） 、購物中心（零售） 或熱門話題",名單,可
"28-60 / 伸港鹿港 / 年輕首購族
-85。c鹿港鹿和店（+5 公里）, 築間幸福鍋物 彰化自強店（+5 公里）, 伸港鄉立圖書館（+5 公里）
-排屋、連棟住宅（建築） 、別墅（住宿） 、住宅區（房地產） 、婚姻（婚禮） 、簡餐館（餐廳） 、休閒餐廳 (餐廳) 、麥當勞（餐廳） 、宜家家居（零售業者） 、甜點（美食和餐飲） 、酒精飲品（美食和餐飲） 、保險（商業與財務） 、花卉（植物與花卉） 、現代家具（居家裝潢） 、 LINE 、熱門話題、媽媽寶寶-懷孕、生產、育兒、 iPhone（智慧型手機） 、淘寶網、天貓、美容（社會觀念） 或休閒娛樂（社會觀念）",訊息,可
"28-50 / 伸港鹿港龍井 / 建築生活品質
-龍井車站（+4 公里） ; 85。c鹿港鹿和店（+4 公里）, 伸港鄉立圖書館（+5 公里）
-住宅房地產 (房地產) 、建材（工業材料和設備） 、結構工程、砌體結構、 Sustainable architecture 、整建（建築業） 、新聞媒體（新聞服務） 、建築媒體 (設計) 、家電品牌和零售商 (零售) 、居家裝飾 (室內裝潢) 、生活風格 (生活風格內容) 、生活品質（心理學） 、身心健康（心理學） 或營建管理",訊息,優
"28-55 / 伸港鹿港龍井大肚 / 科技工業賺錢
龍井車站（+3 公里）, 大肚車站（+5 公里） ; 85。c鹿港鹿和店（+5 公里）, 伸港鄉立圖書館（+5 公里）
金錢（貨幣） 、財富（經濟） 、投資（商業與財務） 、收入（商業與財務） 、汽車（交通工具） 、電子商務（零售） 、股票（投資） 、羽球 (球拍類運動) 、酒精飲品（美食和餐飲） 、 591房屋交易網、排屋、連棟住宅（建築） 或 New Home, 行業類別：資訊科技和技術服務或製造",訊息,優
"28-60 / 南投 / 房產興趣
-Nantou
-房屋（房地產） 、住宅區（房地產） 、公寓大樓（房地產） 、 591房屋交易網、房屋廣告和入口網站 (網站) 、不動產（房地產） 、房地產投資（投資） 或新聞播報（新聞服務）",訊息,可
"28-55 / 彰市和美鹿港 / 醫師 律師 教師
-彰化車站（+5 公里）, 國立和美實驗學校（+5 公里） ; 鹿港老街（+5 公里）, 秀水_龍騰公園（+5 公里）
-律師（法律和法律服務） 、律師事務所 (法律和法律諮詢服務) 、法律分支 (法律和政府) 、牙科學院 (高等教育) 、醫學院 (高等教育) 、高等教育（教育） 、批發（零售） 、經銷（商業） 、出口貿易、親子教育（兒童和親子教育） 、語言教育、教育學（教育） 、以英語為第二語言或外語、投資（商業與財務） 、財產保險、轎車（汽車） 、室內設計（設計） 、傢俱（居家裝潢） 、房屋（房地產） 或 591房屋交易網、行業類別：法律服務、健康照護與醫療服務或教育和圖書館",名單,可
"28-60 / 南投 / 生活百貨 烹飪
-Nantou
-量販店（食品零售業者） 、雜貨店（食品零售業者） 、超市（食品零售業者） 、網路雜貨商（食品零售業者） 、烹飪（美食和餐飲） 、烹飪和烘焙用具（廚房與餐廚） 、廚房器具 (廚房和餐飲) 、食品（美食和餐飲） 、簡餐館（餐廳） 、五金行（零售業者） 、急凍食品、有機食品（美食和餐飲） 、餐廳（餐飲） 或食品媒體和內容 (食物和飲品)",訊息,可
"18-45 / 大台中 / 親子娛樂
-迪卡農北屯店（+5 公里）, 勤美綠園道-市民廣場（+5 公里）, 雅環保齡球館（+5 公里）, 大魯閣保齡球棒壘球 新時代館（+5 公里）
-保齡球、撞球、休閒娛樂（社會觀念） 、親子教育（兒童和親子教育） 、主題樂園（休閒） 、樂高（玩具） 、公園、運動類遊戲 (電玩遊戲) 、 Instagram（社群媒體） 、愛奇藝、假期（活動） 或遊樂場",互動,可
"27-60 / 十期 / 行銷 小資族
-太原車站（+5 公里）, 頭家厝菜市場（+5 公里）
-室內設計（設計） 、行銷企劃 (行銷) 、數位行銷（行銷） 、折扣商店（零售） 、綜藝節目 (表演藝術) 、傢俱（居家裝潢） 、韓國電視劇（電視節目） 、網紅行銷 (行銷) 、網路購物（零售） 、居家裝潢零售商 (零售) 、廣告（行銷） 、設計（設計） 、政府（政府機構） 或網路 (電腦運算)、行業類別：政府員工（全球） 、行政服務或教育和圖書館
1118-永興街（+5 公里）, 太原車站（+5 公里）, 台中車站（+5 公里）, 頭家厝菜市場（+5 公里）
室內設計（設計） 、行銷企劃 (行銷) 、傢俱（居家裝潢） 、折扣商店（零售） 、綜藝節目 (表演藝術) 、韓國電視劇（電視節目） 、網紅行銷 (行銷) 、廣告（行銷） 、設計（設計） 、政府（政府機構） 、網路 (電腦運算) 、宜家家居（零售業者） 、雅高達、銀行帳戶 (銀行業) 、商業模式 (商業和金融業) 或簡餐館（餐廳）、任職公司：自営業(個人事業主)、行業類別：行政服務、教育和圖書館或政府員工（全球）",名單,優
"26-55 / 神岡大雅清水 / 換屋成家
-中部科學園區（+5 公里）, 潭雅神綠園道神岡段（+5 公里）, 和睦路一段， 台中市（+5 公里） Taichung
-教養方式 (兒童和親子教育) 、新生兒派對（兒童和親子教育） 、公園、中小型企業（商業與財務） 、股票（投資） 、製造業（產業） 、機械工程（工程） 、轎車（汽車） 、美食（美食和餐飲） 、婚姻（婚禮） 、工業工程 (工程) 、度假（社會觀念） 、傢俱（居家裝潢） 、室內設計（設計） 或 591房屋交易網、家長：嬰幼兒家長（01-02 歲） 、學齡前兒童的家長（03-05 歲） 或低年級學童（06-08 歲）的家長",訊息,可
"28-55 / 彰市和美鹿港 / 醫生 律師 自營商
-彰化車站（+5 公里） ; 國立和美實驗學校（+5 公里）, 鹿港老街（+5 公里）, 秀水_龍騰公園（+5 公里）
-律師（法律和法律服務） 、律師事務所 (法律和法律諮詢服務) 、法律分支 (法律和政府) 、牙科學院 (高等教育) 、醫學院 (高等教育) 、高等教育（教育） 、批發（零售） 、經銷（商業） 、出口貿易、親子教育（兒童和親子教育） 、語言教育、以英語為第二語言或外語、投資（商業與財務） 、居家事業（商業與財務） 、室內設計（設計） 、財產保險、豪華轎車（交通工具） 、房屋（房地產） 或 591房屋交易網、任職公司：自営業(個人事業主)、行業類別：法律服務或健康照護與醫療服務",名單,可
"**27-55 / 十期 / 年輕興趣
-太原車站（+5 公里）, 頭家厝菜市場（+3 公里）
-儲蓄（銀行業） 、上班族（流行文化） 、行銷企劃 (行銷) 、美容沙龍（化妝品） 、咖啡廳（咖啡） 、數位行銷（行銷） 、媽媽寶寶-懷孕、生產、育兒、傢俱（居家裝潢） 、個人理財（銀行業） 、百貨公司（零售） 、流行文化（社會觀念） 、咖啡豆（咖啡） 、保險（商業與財務） 、簡餐館（餐廳） 、時尚配件（飾品配件） 、社群媒體行銷（行銷） 、促銷（行銷） 、婚禮（社會觀念） 、住家（家居和園藝用品） 、婚姻（婚禮） 、房地產（產業） 或零售業（產業）",名單,可
"**27-60/ 西屯中科 /銀行 精算師
-水崛頭公園（+2 公里）, 統聯中港轉運站 U Bus（+2 公里）
-金錢（貨幣） 、財經（商業與財務） 、會計學（商業與財務） 、個人理財（銀行業） 、財務規劃（投資） 、金融服務（商業與財務） 、銀行業（金融） 、企業家（商業與財務） 、會計系統、投資（商業與財務） 、財務會計（商業與財務） 、商業（商業與財務） 或財富管理（銀行業）, 行為：小型企業主",名單,優
"28-60 / 竹南竹北 / 教育 生活
-國家衛生研究院（+3 公里）, 尚順購物中心（+3 公里） ; 竹南獅山親子公園（+5 公里）, 新竹巨城百貨公司廣場（+5 公里）, 竹北台元科技園區（+5 公里）, 竹東工研院（+5 公里）, 廣源科技園區（+3 公里）
-高等教育（教育） 、語言教育、外語、航空公司、教育（社會觀念） 、工程和理工學院 (教育) 、旅遊（旅遊觀光） 、旅遊網站（網站） 、網路 (電腦運算) 、慢跑（跑步） 、園藝（家居和園藝用品） 、超市（食品零售業者） 、生活用品（家居和園藝用品） 、網路社區、韓國電視劇（電視節目） 、美容（社會觀念） 、美學（哲學） 、商業模式 (商業和金融業) 或咖啡廳（咖啡）",1510,優
"28-55 / 頭份竹南竹北 / 職業+房產
-竹南科技園區（+5 公里）, 竹南獅山親子公園（+5 公里）, 新竹巨城百貨公司廣場（+5 公里）, 竹北台元科技園區（+5 公里）, 竹東工研院（+5 公里）
-美妝網紅 (美妝) 、網路名人、 YouTube（串流服務） 、社群媒體行銷（行銷） 、商業模式 (商業和金融業) 、聯盟行銷（行銷） 、電子商務（零售） 、自由工作者（工作機會） 、自僱（工作機會） 、被動收入（商業與財務） 、直銷、獨資企業（商業與財務） 、創意創業 (商業和金融業) 、居家事業（商業與財務） 、 591房屋交易網或房屋（房地產）、行為：網紅創作者、任職公司：自営業(個人事業主)",1510,優
"-福興工業區（+5 公里）, 埔鹽國民中學（+5 公里）, 埔鹽國小（+5 公里）, 鹿港老街（+5 公里）
-電子商務（零售） 、家庭購物 (時尚和購物) 、網路購物（零售） 、數位行銷（行銷） 、聯盟行銷（行銷） 、零售業（產業） 、批發（零售） 、經銷（商業） 、中小型企業（商業與財務） 、小型企業（商業與財務） 、商業模式 (商業和金融業) 、業務過程、獨資企業（商業與財務） 、創意創業 (商業和金融業) 或社群媒體行銷（行銷）",名單,可
"28-55 / 大里商圈 / 小家庭 工程師
-大里立新國小（+5 公里）, 大里中興商圈（+5 公里）
-家庭（社會觀念） 、幼兒照護（兒童和親子教育） 、兒童發展（小學和中學教育） 、優惠券（優惠券和折扣） 、儲蓄（銀行業） 、收入（商業與財務） 、居家裝修（家居和園藝用品） 、軟體開發（軟體） 、軟體工程（資訊技術） 、程式語言（計算） 、 Java 、 C語言、 SQL 、 GitHub 、智慧科技 (消費電子產品) 、電腦伺服器（計算） 或 Stack Overflow、家長：父母（全部）",名單,可
