搜尋關鍵字報表
2026年7月1日 - 2026年8月5日
關鍵字狀態	關鍵字	比對類型	廣告活動	廣告群組	狀態	狀態原因	貨幣代碼	最高單次點擊出價	最終到達網址	曝光	點擊	點閱率	費用	平均單次點擊出價	曝光 (頂端) 百分比	曝光 (絕對頂端) 百分比	轉換率	轉換	單次轉換費用
已啟用	"""蜂巢簾"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		"1,368"	101	7.38%	1569.18	15.54	65.10%	22.90%	0.00%	0.00	0.00
已啟用	"""窗簾設計"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		336	21	6.25%	308.65	14.70	59.38%	21.18%	0.00%	0.00	0.00
已啟用	"""手捲簾"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		5	0	0.00%	0.00	0	75.00%	0.00%	0.00%	0.00	0.00
已啟用	"""窗簾訂製"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		130	6	4.62%	91.54	15.26	47.15%	11.38%	0.00%	0.00	0.00
已啟用	"""自動天窗"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已暫停	"""平價窗簾"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	已暫停	已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""窗簾推薦"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		"2,079"	143	6.88%	2234.52	15.63	57.11%	19.80%	0.00%	0.00	0.00
已啟用	"""防水窗簾"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		118	7	5.93%	108.11	15.44	64.95%	25.77%	0.00%	0.00	0.00
已啟用	"""窗簾價格"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		"1,001"	66	6.59%	1063.76	16.12	62.34%	21.32%	0.00%	0.00	0.00
已暫停	"""布窗簾"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	已暫停	已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""隔熱窗簾"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	其他	符合資格		TWD	 --		331	24	7.25%	357.93	14.91	71.77%	25.85%	0.00%	0.00	0.00
已啟用	"""塑鋁百葉窗"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	百葉窗	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""皮百葉"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	百葉窗	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""防水木百葉"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	百葉窗	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""電動百葉"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	百葉窗	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""百葉窗簾"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	百葉窗	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""實木百葉"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	百葉窗	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""布百葉"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	百葉窗	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""英國朗絲絲柔百葉"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	百葉窗	不符合資格	廣告群組已暫停; 極少顯示	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""美式百葉窗"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	百葉窗	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""實木透氣窗"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	百葉窗	不符合資格	廣告群組已暫停; 極少顯示	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""實木百葉窗"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	百葉窗	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""木百葉"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	百葉窗	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""朗絲"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	品牌字	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""ALTALIPA"""	詞組比對	202512 臻富裕 GKW(其他/競品字)	品牌字	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""調光捲簾"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""風琴簾"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""自動天窗"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""窗簾設計"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""電動窗簾"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已暫停	"""窗簾推薦"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	已暫停	廣告群組已暫停; 已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""手動天窗"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""布窗簾"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已暫停	"""平價窗簾"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	已暫停	廣告群組已暫停; 已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""窗簾訂製"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已暫停	"""客製窗簾"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	已暫停	廣告群組已暫停; 已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""手捲簾"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已暫停	"""防水窗簾"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	已暫停	廣告群組已暫停; 已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""調光簾"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""蜂巢簾"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""隔熱窗簾"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已暫停	"""窗簾"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	已暫停	廣告群組已暫停; 已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""遮光窗簾"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	不符合資格	廣告群組已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已暫停	"""窗簾價格"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	其他	已暫停	廣告群組已暫停; 已暫停	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	[Norman百葉窗]	完全比對	202507 臻富裕 GKW(百葉窗/品牌字)	競品字	不符合資格	廣告群組已暫停; 品質偏低	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	[E-shutter]	完全比對	202507 臻富裕 GKW(百葉窗/品牌字)	競品字	不符合資格	廣告群組已暫停; 品質偏低	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""朗絲"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	品牌字	符合資格		TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""ALTALIPA"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	品牌字	符合資格		TWD	 --		13	11	84.62%	150.51	13.68	90.91%	81.82%	0.00%	0.00	0.00
已啟用	"""木 百葉窗"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	百葉窗	符合資格		TWD	 --		169	11	6.51%	311.82	28.35	69.85%	16.18%	0.00%	0.00	0.00
已啟用	"""實木百葉窗"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	百葉窗	符合資格		TWD	 --		101	3	2.97%	95.68	31.89	70.89%	16.46%	0.00%	0.00	0.00
已啟用	"""實木透氣窗"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	百葉窗	不符合資格	極少顯示	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""電動百葉"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	百葉窗	符合資格		TWD	 --		319	30	9.40%	811.97	27.07	77.04%	26.46%	0.00%	0.00	0.00
已啟用	"""木百葉"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	百葉窗	符合資格		TWD	 --		"1,002"	57	5.69%	1496.42	26.25	66.83%	21.67%	0.00%	0.00	0.00
已啟用	"""英國朗絲絲柔百葉"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	百葉窗	不符合資格	極少顯示	TWD	 --		0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
已啟用	"""塑鋁百葉窗"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	百葉窗	符合資格		TWD	 --		97	2	2.06%	49.23	24.62	77.11%	27.71%	0.00%	0.00	0.00
已啟用	"""皮百葉"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	百葉窗	符合資格		TWD	 --		9	1	11.11%	28.37	28.37	75.00%	25.00%	0.00%	0.00	0.00
已啟用	"""百葉窗簾"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	百葉窗	符合資格		TWD	 --		"3,385"	156	4.61%	4294.26	27.53	66.08%	24.76%	0.00%	0.00	0.00
已啟用	"""美式百葉窗"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	百葉窗	符合資格		TWD	 --		82	4	4.88%	93.88	23.47	67.69%	18.46%	0.00%	0.00	0.00
已啟用	"""實木百葉"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	百葉窗	符合資格		TWD	 --		255	16	6.27%	453.58	28.35	80.57%	15.64%	0.00%	0.00	0.00
已啟用	"""布百葉"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	百葉窗	符合資格		TWD	 --		20	1	5.00%	33.33	33.33	37.50%	12.50%	0.00%	0.00	0.00
已啟用	"""防水木百葉"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	百葉窗	符合資格		TWD	 --		17	0	0.00%	0.00	0	78.57%	42.86%	0.00%	0.00	0.00
已啟用	"""百葉窗 安裝"""	詞組比對	202507 臻富裕 GKW(百葉窗/品牌字)	百葉窗	符合資格		TWD	 --		80	3	3.75%	81.11	27.04	52.94%	20.59%	0.00%	0.00	0.00
 --		總計：所有未移除的關鍵字	 --	 --	 --		TWD	 --		"14,391"	863	6.00%	16700.57	19.35	62.80%	21.47%	0.00%	0.00	0.00
		總計：帳戶的關鍵字					TWD			"15,541"	899	5.78%	17661.89	19.65	62.36%	21.31%	0.00%	0.00	0.00
		總計：您的關鍵字					TWD			"15,541"	899	5.78%	17661.89	19.65	 --	 --	0.00%	0.00	0.00
		總計：AI Max 擴充比對相符項目					TWD			0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
		總計：AI Max 相符到達網頁					TWD			0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
		總計：帳戶的網址納入項目					TWD			0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
		總計：帳戶					TWD			"15,541"	899	5.78%	17661.89	19.65	62.36%	21.31%	0.00%	0.00	0.00
		總計：多媒體					TWD			0	0	 --	0.00	0	 --	 --	0.00%	0.00	0.00
		總計：搜尋					TWD			"15,541"	899	5.78%	17661.89	19.65	62.36%	21.31%	0.00%	0.00	0.00
